F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
271,538,336,-159,810,446,1131,399,137,648,-982,838,513,271
271,542,331,-162,790,435,1125,397,124,674,-983,842,513,272
261,545,335,-158,790,436,1121,391,118,665,-982,843,515,274
259,540,339,-157,810,447,1125,393,114,645,-982,837,516,271
267,534,336,-165,829,446,1129,397,88,609,-983,836,514,272
265,541,333,-164,830,445,1129,394,48,551,-982,839,511,274
261,546,333,-155,812,456,1144,391,36,546,-978,840,513,273
264,540,335,-156,781,462,1168,391,55,577,-980,839,517,272
264,540,338,-166,764,453,1171,390,77,572,-981,839,515,272
263,544,334,-166,783,442,1167,392,99,561,-977,837,511,273
267,539,329,-159,784,436,1169,393,124,579,-982,832,511,275
268,534,331,-162,768,435,1159,391,131,620,-988,834,513,275
265,540,336,-165,796,441,1143,391,124,665,-982,840,512,269
263,543,335,-161,822,442,1135,391,121,671,-978,838,513,269
261,540,337,-162,792,437,1116,390,122,641,-982,837,515,272
263,545,336,-165,779,446,1098,392,130,643,-982,846,516,272
266,544,332,-160,811,466,1108,393,141,652,-984,845,514,275
262,540,337,-162,822,476,1131,392,123,619,-986,836,511,278
258,540,342,-165,800,474,1146,393,89,602,-982,839,513,276
258,537,335,-159,792,466,1149,393,72,611,-983,842,517,275
259,535,331,-160,796,457,1139,393,55,578,-986,835,514,278
262,537,334,-163,778,455,1124,391,35,545,-981,834,511,279
264,543,331,-160,764,456,1117,392,43,575,-978,839,513,273
263,542,334,-161,788,442,1109,395,58,602,-987,839,515,272
262,534,339,-160,808,429,1095,394,48,595,-987,840,512,276
260,535,336,-159,802,441,1096,393,47,603,-978,842,511,275
259,542,332,-164,811,463,1110,393,78,626,-980,839,516,272
262,537,332,-168,821,471,1110,390,102,627,-984,838,516,273
262,532,332,-162,799,478,1104,389,95,619,-981,842,510,273
261,536,331,-164,789,488,1117,389,79,620,-983,841,512,270
266,534,335,-163,796,489,1137,389,80,611,-985,839,517,272
269,540,337,-154,792,482,1139,389,85,601,-982,841,515,274
267,546,337,-158,794,471,1131,390,67,591,-983,838,513,272
271,540,339,-161,810,464,1130,392,53,585,-982,834,513,272
273,545,343,-155,807,470,1129,397,64,598,-982,840,512,274
265,552,343,-155,790,473,1118,398,76,612,-985,844,513,274
267,546,345,-162,796,475,1114,393,75,607,-981,839,512,273
271,545,348,-161,819,483,1128,395,78,626,-982,835,509,272
266,548,344,-156,827,489,1136,395,78,656,-985,837,510,271
266,546,342,-160,829,492,1132,391,65,631,-979,839,513,270
268,547,344,-164,833,504,1135,390,56,609,-981,841,512,273
263,548,341,-159,826,511,1141,392,52,613,-987,839,513,276
264,545,333,-156,805,491,1142,393,40,587,-985,837,515,271
272,542,336,-163,790,475,1143,391,26,561,-986,842,515,268
266,537,340,-169,799,487,1150,388,28,590,-991,844,515,273
260,538,334,-164,814,505,1160,386,57,621,-985,837,517,274
272,542,332,-159,810,509,1162,391,84,613,-980,841,516,272
276,541,340,-161,794,509,1151,394,85,618,-984,845,513,276
262,539,336,-164,786,502,1138,391,81,642,-981,834,512,280
257,541,330,-165,788,491,1129,388,87,639,-978,833,511,278
263,544,338,-164,805,496,1118,392,81,628,-985,848,513,278
266,542,340,-165,826,501,1116,397,62,642,-988,850,515,277
264,534,336,-164,832,495,1123,393,58,647,-980,839,514,278
261,532,336,-162,834,504,1137,390,73,633,-975,840,513,276
260,541,335,-161,827,522,1153,391,86,644,-981,843,514,268
262,544,331,-164,807,518,1168,391,80,645,-986,841,512,269
261,540,333,-162,806,509,1175,393,64,595,-984,839,512,275
262,543,338,-155,814,515,1170,394,57,575,-985,840,517,271
