F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
260,544,336,-139,747,462,1170,394,280,626,-982,839,514,270
267,543,334,-141,749,470,1189,395,290,626,-980,836,518,273
269,536,338,-137,751,490,1192,395,285,626,-985,835,518,270
266,539,338,-139,749,507,1195,397,272,625,-988,837,515,268
269,548,336,-145,749,509,1195,396,270,623,-984,840,519,266
268,546,337,-142,749,506,1177,392,275,622,-986,836,519,265
261,543,336,-139,747,510,1158,395,276,623,-992,829,512,270
261,547,333,-139,749,512,1160,397,274,623,-988,832,509,278
267,545,334,-135,748,507,1162,391,283,622,-988,839,516,271
264,539,337,-135,745,494,1140,391,294,623,-992,839,522,264
261,538,339,-141,750,482,1123,397,282,622,-987,838,514,267
263,540,341,-138,754,481,1143,396,262,623,-983,840,512,267
264,540,337,-136,749,476,1162,392,258,623,-985,841,518,267
264,537,337,-138,744,467,1159,397,250,622,-984,837,519,270
261,537,341,-138,748,469,1171,401,245,623,-980,835,514,268
257,541,338,-138,754,474,1196,395,254,626,-985,839,515,265
263,543,336,-140,752,474,1195,392,264,626,-991,840,516,271
268,541,339,-139,749,469,1189,400,275,623,-986,836,515,273
266,541,338,-139,753,480,1195,402,277,624,-982,837,519,269
269,542,334,-135,755,499,1182,398,275,626,-987,837,519,268
272,541,335,-133,748,493,1160,401,299,626,-992,833,516,269
269,543,340,-139,746,480,1158,407,328,625,-983,839,516,269
268,544,343,-139,750,490,1164,402,326,626,-979,846,517,269
268,542,341,-135,749,505,1159,389,318,626,-985,842,517,269
268,543,335,-137,750,500,1159,390,329,626,-985,843,516,272
266,547,335,-139,751,481,1164,396,337,626,-984,845,517,277
265,544,338,-135,747,471,1153,390,331,625,-990,839,517,271
266,538,338,-133,746,473,1144,393,320,626,-991,836,515,266
268,539,339,-136,754,474,1156,402,312,626,-985,841,513,268
267,540,338,-138,757,477,1164,396,299,625,-989,842,517,266
268,540,335,-140,749,497,1156,395,286,624,-991,836,517,264
272,543,335,-139,743,508,1157,401,294,624,-988,837,513,268
269,544,338,-138,748,500,1161,394,322,624,-984,841,514,268
266,541,339,-137,748,504,1150,394,342,624,-979,839,517,267
268,540,334,-137,744,499,1134,407,337,623,-980,840,517,269
267,542,331,-139,751,480,1117,403,325,622,-987,841,517,267
265,541,338,-137,754,486,1113,397,323,622,-986,841,518,266
267,541,343,-134,748,500,1126,404,326,622,-980,842,520,269
272,541,337,-139,752,506,1147,398,333,623,-985,839,514,271
268,540,333,-143,755,525,1174,387,348,623,-990,835,509,270
265,540,337,-139,750,539,1194,392,376,622,-986,839,515,270
267,540,337,-135,750,537,1199,398,392,624,-984,837,520,271
265,541,333,-136,752,539,1196,395,359,627,-986,832,517,270
261,543,338,-140,749,530,1194,394,312,627,-986,836,514,268
264,542,338,-142,751,508,1194,400,298,626,-985,839,516,267
269,537,334,-135,752,503,1193,394,296,627,-986,838,519,270
263,537,335,-132,746,497,1177,387,287,627,-985,839,518,271
261,537,338,-138,747,491,1161,390,288,626,-984,834,517,269
266,538,338,-139,754,496,1157,394,287,626,-985,830,521,264
268,542,339,-137,753,498,1157,393,287,626,-987,838,519,264
267,542,336,-139,748,494,1156,392,308,626,-987,840,514,272
267,538,333,-136,749,498,1158,393,327,626,-986,833,517,275
265,538,341,-137,752,506,1175,394,323,626,-986,833,518,270
268,541,343,-141,750,505,1193,396,326,626,-988,837,516,264
271,543,336,-137,746,504,1194,394,345,626,-986,837,520,265
265,545,336,-132,748,521,1196,393,359,626,-983,837,521,270
261,543,338,-137,755,532,1201,399,354,626,-985,839,514,272
266,542,337,-141,754,515,1180,396,328,626,-984,837,514,271
266,545,339,-136,747,500,1158,388,296,626,-984,834,518,269
261,546,341,-134,744,496,1164,391,273,626,-984,838,512,269
264,547,338,-140,749,477,1165,399,253,626,-982,841,514,270
270,545,337,-140,753,461,1150,398,236,626,-986,840,523,269
265,542,336,-135,749,468,1148,389,235,626,-986,840,520,269
263,539,336,-136,748,473,1156,393,251,626,-984,838,515,271
265,538,337,-136,751,483,1155,405,275,626,-985,834,522,271
262,535,333,-133,744,503,1167,397,307,626,-986,837,524,266
